(-17.7956,-36.8156,139.718)
(-17.7414,-36.9391,143.464)
(-17.7084,-37.0122,145.694)
(-17.6857,-37.066,147.261)
(-17.6579,-37.1359,149.253)
(-17.2764,-38.2637,180.169)
(-17.1817,-38.5414,187.799)
(-17.0294,-38.9862,200)
(-17.0292,-38.9868,200.018)
(-17.0288,-38.988,200.05)
(-17.0288,-38.988,200.05)
(-16.4763,-40.5802,244.147)
(-16.4032,-40.7901,250)
(-16.403,-40.7908,250.018)
(-16.4026,-40.7919,250.05)
(-16.4026,-40.7919,250.05)
(18.5359,22.0523,-1.01)
(18.5359,22.0523,-0.99)
(18.5359,22.0523,0)
(18.5359,22.0523,0.018)
(18.5359,22.0523,0.05)
(18.5359,22.0523,0.050001)
(18.5363,22.0523,0.841493)
(18.5461,22.05,24.7612)
(18.553,22.0432,50)
(18.553,22.0432,50.018)
(18.553,22.0432,50.05)
(18.553,22.0432,50.05)
(18.5547,22.0451,52.7242)
(18.572,22.0644,80.8777)
(18.5724,22.0648,81.4011)
(18.5802,22.0755,94.8506)
(18.5823,22.0791,99.082)
(18.5828,22.0801,100.235)
(18.5833,22.0811,101.449)
(18.5833,22.0811,101.501)
(18.5835,22.0814,101.945)
(18.5842,22.0816,102.31)
(18.5844,22.0818,102.599)
(18.5813,22.0844,103.773)
(18.577,22.0887,104.711)
(18.5679,22.1067,106.446)
(18.5033,22.1382,115.03)
(18.5006,22.139,115.448)
(18.4937,22.1385,116.578)
(18.4893,22.1365,117.392)
(18.4597,22.1282,122.575)
(18.4586,22.1283,122.845)
(18.4583,22.1285,122.984)
(18.4552,22.1308,123.952)
(18.4525,22.1324,124.709)
(18.4471,22.1366,128.449)
(18.4485,22.1395,129.719)
(18.4473,22.1448,131.502)
(18.4473,22.1449,131.519)
(18.448,22.1686,134.469)
(18.4504,22.1775,135.438)
(18.4535,22.1864,136.326)
(18.4543,22.1883,136.535)
(18.4667,22.2075,138.687)
(18.4689,22.2117,139.122)
(18.4772,22.2231,140.569)
(18.4824,22.2316,141.868)
(18.4852,22.238,143.023)
(18.4863,22.2413,143.549)
(18.4964,22.2787,148.62)
(18.5176,22.2973,152.955)
(18.5824,22.3531,165.782)
(18.6428,22.4065,178.298)
(18.7475,22.4976,200)
(18.7476,22.4976,200.018)
(18.7478,22.4978,200.05)
(18.7478,22.4978,200.05)
(18.8362,22.574,220.163)
(18.9215,22.647,239.729)
(18.9372,22.6595,243.285)
(18.9661,22.6829,250)
(18.9662,22.6829,250.018)
(18.9663,22.683,250.05)
(18.9663,22.683,250.05)
(-5.23587,23.9451,-1.01)
(-5.23587,23.9451,-0.99)
(-5.23589,23.9452,1.11022e-16)
(-5.23589,23.9452,0.018)
(-5.23589,23.9452,0.05)
(-5.23589,23.9452,0.050001)
(-5.23499,23.9394,9.80839)
(-5.23109,23.9163,50)
(-5.23109,23.9163,50.018)
(-5.23109,23.9163,50.05)
(-5.23109,23.9163,50.05)
(-5.23768,23.8826,84.452)
(-5.23902,23.8735,95.461)
(-5.24054,23.8895,98.9294)
(-5.24905,23.9052,101.069)
(-5.25286,23.9117,101.937)
(-5.25381,23.9134,102.137)
(-5.25686,23.9205,102.948)
(-5.26105,23.9308,104.023)
(-5.26164,23.9318,104.148)
(-5.27272,23.9464,106.955)
(-5.2734,23.9467,107.335)
(-5.27446,23.9442,108.535)
(-5.27223,23.9388,110.434)
(-5.27096,23.9362,111.287)
(-5.26693,23.9282,113.388)
(-5.26642,23.9281,113.522)
(-5.25669,23.9269,116.581)
(-5.25628,23.927,116.638)
(-5.19937,23.9584,123.694)
(-5.19711,23.9599,123.901)
(-5.19382,23.9622,124.207)
(-5.15023,23.9729,128.317)
(-5.14209,23.9722,129.102)
(-5.11388,23.9696,131.338)
(-5.07082,23.9688,134.161)
(-5.04454,23.9669,135.666)
(-5.03753,23.9663,136.074)
(-5.03208,23.9655,136.388)
(-5.00808,23.9578,137.793)
(-4.96653,23.9403,140.312)
